time	press	temp
1532986852.2809086	101.71395807647059	17.646763073205946
1532986852.7991316	101.60097495333932	17.646763073205946
1532986853.317248	101.14904246081439	17.646763073205946
1532986853.8353164	101.26202558394566	17.646763073205946
1532986854.3533728	101.60097495333932	17.646763073205946
1532986854.8714724	101.14904246081439	17.646763073205946
1532986855.3895607	101.26202558394566	17.646763073205946
1532986855.9076629	101.14904246081439	17.646763073205946
1532986856.4257803	101.26202558394566	17.646763073205946
1532986856.943913	101.26202558394566	17.646763073205946
1532986857.462016	101.15093575244725	17.664837223291396
1532986857.980209	101.14904246081439	17.646763073205946
1532986858.4983208	101.14904246081439	17.646763073205946
1532986859.016433	101.26202558394566	17.646763073205946
1532986859.5345507	101.14904246081439	17.646763073205946
