-41.9091 6.0909 -9.1837
-41.9091 6.0909 -9.5918
-41.7273 6.3636 -9.7959
-41.7273 6.0909 -9.898
-42.0909 5.2727 -8.5714
-42.0909 5.1818 -8.4694
-42.3636 4.2727 -7.551
-43.2727 3.0 -5.5102
-43.7273 1.4545 -4.5918
-44.3636 -0.7273 -1.4286
-45.0 -3.5455 1.3265
-45.2727 -5.2727 2.8571
-45.3636 -8.2727 4.898
-45.0909 -12.1818 8.0612
-44.0 -15.3636 12.6531
-43.0909 -18.3636 17.7551
-42.2727 -19.6364 20.5102
-40.5455 -21.6364 25.0
-38.3636 -23.6364 29.6939
-37.1818 -24.6364 31.8367
-35.0909 -26.6364 36.0204
-29.3636 -30.8182 44.2857
-26.8182 -31.7273 47.9592
-22.0 -33.6364 53.3673
-17.4545 -35.4545 57.2449
-14.9091 -35.0909 60.2041
-8.2727 -33.8182 65.4082
-1.6364 -31.0 70.6122
4.9091 -27.5455 74.4898
10.5455 -24.8182 77.1429
15.0909 -27.0 77.9592
21.8182 -33.0909 77.3469
27.6364 -36.2727 75.8163
35.0 -37.9091 75.4082
46.8182 -39.2727 72.9592
52.3636 -39.6364 70.7143
62.0909 -39.0909 64.4898
67.6364 -39.2727 58.2653
71.0 -39.4545 52.2449
72.9091 -41.2727 44.898
73.3636 -42.5455 40.2041
73.2727 -43.0 38.2653
74.0 -44.1818 34.3878
72.8182 -47.4545 28.7755
71.9091 -47.1818 22.0408
66.9091 -43.2727 1.2245
59.1818 -37.1818 -12.551
50.9091 -33.4545 -21.9388
47.0 -31.9091 -24.898
37.1818 -27.8182 -30.9184
22.4545 -27.7273 -36.1225
13.2727 -29.1818 -36.4286
5.0909 -28.4545 -35.5102
8.8182 -29.0909 -35.102
7.5455 -37.4545 -31.4286
6.4545 -47.2727 -25.6122
5.9091 -51.6364 -22.449
4.2727 -59.0909 -14.2857
2.4545 -64.4545 -5.5102
0.6364 -65.9091 -2.1429
-8.0909 -64.0909 1.7347
-16.8182 -61.0909 8.5714
-19.8182 -59.0909 11.3265
-25.1818 -54.5455 16.1224
-28.1818 -50.7273 21.7347
-31.9091 -42.6364 28.2653
-33.7273 -35.5455 34.5918
-34.4545 -31.3636 36.6327
-33.4545 -23.3636 42.8571
-32.2727 -16.1818 46.1224
-31.0 -12.2727 48.0612
-29.7273 -5.1818 48.5714
-29.1818 0.7273 47.8571
-30.5455 4.9091 44.6939
-31.8182 14.1818 36.3265
-28.7273 25.5455 24.6939
-27.9091 28.1818 17.1429
-26.2727 28.7273 0.4082
-24.3636 25.7273 -9.898
-22.4545 24.4545 -13.6735
-15.3636 22.3636 -21.1224
-4.8182 13.0909 -31.1224
-4.1818 9.4545 -32.6531
-1.0909 13.2727 -30.8163
-0.7273 30.3636 -16.3265
1.5455 36.6364 -6.8367
7.0 42.5455 17.8571
12.0909 38.5455 41.3265
14.9091 27.1818 59.1837
15.4545 15.8182 67.551
16.4545 7.5455 71.5306
18.0909 4.5455 72.8571
19.9091 4.0909 73.0612
14.0 -0.1818 72.9592
15.2727 -8.9091 74.5918
16.3636 -13.5455 75.2041
10.5455 -20.2727 73.2653
13.1818 -36.1818 69.4898
14.0909 -53.8182 57.6531
14.7273 -62.0 45.2041
13.6364 -65.2727 31.6327
11.7273 -65.0 25.0
8.1818 -61.7273 12.6531
6.4545 -55.6364 3.1633
5.0909 -51.7273 -0.102
-9.0909 -38.3636 -2.7551
-15.4545 -36.5455 -7.449
-18.9091 -34.1818 -18.5714
-16.7273 -31.4545 -24.6939
-9.5455 -26.7273 -31.5306
-2.0 -20.8182 -34.4898
1.2727 -17.8182 -34.898
3.7273 -14.1818 -35.3061
2.7273 -12.6364 -36.4286
2.4545 -3.2727 -35.5102
3.5455 0.4545 -35.4082
0.6364 -1.9091 -35.8163
-1.3636 -2.7273 -35.7143
