boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed
26.74	358.425783802	60.867865	-147.385493333	1.667	2018-07-26 12:34:14	nan	nan	nan	nan	nan
26.22	358.740527352	60.86793	-147.385418333	1.466	2018-07-26 12:34:19	nan	nan	nan	nan	nan
23.49	357.807168966	60.86798	-147.385356667	1.662	2018-07-26 12:34:24	nan	nan	nan	nan	nan
27.47	359.500355211	60.868043333	-147.385295	1.528	2018-07-26 12:34:29	nan	nan	nan	nan	nan
32.69	358.963756532	60.868091667	-147.385223333	1.518	2018-07-26 12:34:34	nan	nan	nan	nan	nan
28.01	0.20016413493	60.86815	-147.385161667	1.415	2018-07-26 12:34:39	nan	nan	nan	nan	nan
21.57	0.214011557353	60.868198333	-147.3851	1.26	2018-07-26 12:34:44	nan	nan	nan	nan	nan
34.35	2.04258868451	60.868248333	-147.385036667	1.41	2018-07-26 12:34:49	nan	nan	nan	nan	nan
30.84	1.89616656336	60.86831	-147.384955	1.384	2018-07-26 12:34:54	nan	nan	nan	nan	nan
42.53	1.54677720071	60.868368333	-147.384865	1.26	2018-07-26 12:34:59	nan	nan	nan	nan	nan
35.1	1.73149613735	60.868408333	-147.384805	0.921	2018-07-26 12:35:04	nan	nan	nan	nan	nan
54.68	1.81346097379	60.868431667	-147.384778333	0.622	2018-07-26 12:35:09	nan	nan	nan	nan	nan
36.24	1.95905981968	60.868443333	-147.384718333	0.72	2018-07-26 12:35:14	nan	nan	nan	nan	nan
21.09	1.77262622895	60.868458333	-147.384691667	0.473	2018-07-26 12:35:19	nan	nan	nan	nan	nan
39.93	0.0840645366975	60.868483333	-147.38465	0.705	2018-07-26 12:35:24	nan	nan	nan	nan	nan
35.22	2.15076927438	60.868511667	-147.384596667	0.612	2018-07-26 12:35:29	nan	nan	nan	nan	nan
25.07	1.36950515181	60.868538333	-147.384568333	0.638	2018-07-26 12:35:34	nan	nan	nan	nan	nan
32.81	2.90985311383	60.868546667	-147.384543333	0.432	2018-07-26 12:35:39	nan	nan	nan	nan	nan
44.46	4.19622096954	60.868543333	-147.384498333	0.345	2018-07-26 12:35:44	nan	nan	nan	nan	nan
44.81	4.17772530759	60.868543333	-147.384458333	0.314	2018-07-26 12:35:49	nan	nan	nan	nan	nan
46.59	3.3005428411	60.868543333	-147.384425	0.273	2018-07-26 12:35:54	nan	nan	nan	nan	nan
29.7	4.48601207025	60.868553333	-147.384388333	0.365	2018-07-26 12:35:59	nan	nan	nan	nan	nan
35.29	2.27803094061	60.868571667	-147.384353333	0.391	2018-07-26 12:36:04	nan	nan	nan	nan	nan
21.92	3.0765176	60.868593333	-147.384335	0.473	2018-07-26 12:36:09	nan	nan	nan	nan	nan
1.01	2.02099826748	60.868605	-147.38434	0.329	2018-07-26 12:36:14	nan	nan	nan	nan	nan
350.95	1.84227606986	60.86861	-147.384336667	0.211	2018-07-26 12:36:19	nan	nan	nan	nan	nan
4.98	1.75515168524	60.868616667	-147.384336667	0.134	2018-07-26 12:36:24	nan	nan	nan	nan	nan
30.81	0.581541398068	60.868621667	-147.384335	0.072	2018-07-26 12:36:29	nan	nan	nan	nan	nan
